CondTemp[F],EvapTemp[F],Power[W],MassFlowRate[lb/hr],Superheat[F]
80,-20,1679,131.1,20
80,-15,1763,155,20
80,-10,1841,183.4,20
80,-5,1915,216.5,20
80,0,1986,254.6,20
80,5,2054,297.9,20
80,10,2120,346.6,20
80,15,2186,401.1,20
80,20,2253,461.5,20
80,25,2321,528,20
80,30,2391,601,20
80,35,2464,680.7,20
80,40,2542,767.2,20
80,45,2624,861,20
80,50,2713,962.1,20
80,55,2809,1070.8,20
90,-20,1689,111.1,20
90,-15,1823,133.8,20
90,-10,1951,160.6,20
90,-5,2073,191.9,20
90,0,2192,227.9,20
90,5,2307,268.8,20
90,10,2419,314.9,20
90,15,2531,366.3,20
90,20,2642,423.4,20
90,25,2753,486.4,20
90,30,2866,555.5,20
90,35,2982,631,20
90,40,3101,713.1,20
90,45,3224,802.1,20
90,50,3353,898.2,20
90,55,3488,1001.6,20
100,-20,1599,100.1,20
100,-15,1778,122.1,20
100,-10,1951,148,20
100,-5,2118,178,20
100,0,2280,212.5,20
100,5,2437,251.5,20
100,10,2592,295.4,20
100,15,2745,344.4,20
100,20,2896,398.8,20
100,25,3047,458.8,20
100,30,3199,524.6,20
100,35,3353,596.5,20
100,40,3509,674.7,20
100,45,3669,759.5,20
100,50,3834,851.1,20
100,55,4004,949.7,20
110,-15,1667,115,20
110,-10,1881,140.6,20
110,-5,2087,169.9,20
110,0,2289,203.3,20
110,5,2485,241.1,20
110,10,2677,283.5,20
110,15,2867,330.6,20
110,20,3055,382.8,20
110,25,3241,440.4,20
110,30,3428,503.4,20
110,35,3616,572.3,20
110,40,3805,647.2,20
110,45,3998,728.3,20
110,50,4194,816,20
110,55,4395,910.4,20
120,-10,1778,133.5,20
120,-5,2021,162.7,20
120,0,2257,195.7,20
120,5,2488,232.8,20
120,10,2714,274.1,20
120,15,2937,320,20
120,20,3156,370.6,20
120,25,3374,426.2,20
120,30,3592,487.1,20
120,35,3809,553.5,20
120,40,4028,625.6,20
120,45,4248,703.7,20
120,50,4472,788.1,20
120,55,4700,878.8,20
130,-5,1957,151.6,20
130,0,2224,184.7,20
130,5,2485,221.6,20
130,10,2741,262.5,20
130,15,2992,307.6,20
130,20,3240,357.2,20
130,25,3485,411.6,20
130,30,3728,470.8,20
130,35,3972,535.3,20
130,40,4215,605.2,20
130,45,4460,680.8,20
130,50,4707,762.4,20
130,55,4957,850.1,20
140,0,2228,165.5,20
140,5,2515,202.8,20
140,10,2796,243.8,20
140,15,3072,288.8,20
140,20,3343,337.9,20
140,25,3611,391.4,20
140,30,3877,449.7,20
140,35,4142,512.8,20
140,40,4406,581.1,20
140,45,4670,654.8,20
140,50,4936,734.1,20
140,55,5205,819.3,20
150,10,2918,213.1,20
150,15,3214,258.5,20
150,20,3505,307.7,20
150,25,3792,361.1,20
150,30,4076,418.8,20
150,35,4358,481.1,20
150,40,4639,548.3,20
150,45,4919,620.6,20
150,50,5200,698.3,20
150,55,5483,781.5,20
