Map,MeaPower,UncerMeaPower,CondTempInF,EvapTempInF,EstPower,UncerOverall,UncerInput,UncerOutput,UncerTrain,UncerDev,UncerCov,PowerDiff,Skewness
ARI,1.67227e+03,1.01377e+01,7.99769e+01,-2.00083e+01,1.64608e+03,1.09154e+02,8.31073e+00,1.06116e+01,9.93832e+01,1.23372e+01,4.12759e+01,-2.61952e+01,1.44626e+00
ARI,2.62476e+03,1.67959e+01,7.99798e+01,4.50057e+01,2.62562e+03,4.86803e+01,3.93437e+01,1.69263e+01,1.87139e+01,1.23372e+01,5.73858e+00,8.57295e-01,5.36830e+00
ARI,2.30590e+03,1.47263e+01,9.00286e+01,4.96013e+00,2.30605e+03,2.55000e+01,1.43303e+01,1.48662e+01,7.54300e+00,1.23372e+01,3.84535e+00,1.50620e-01,1.62850e+00
ARI,2.98252e+03,1.83497e+01,9.00033e+01,3.49570e+01,2.97812e+03,3.75509e+01,2.75851e+01,1.91987e+01,1.06538e+01,1.23372e+01,3.85124e+00,-4.40244e+00,1.64783e+00
ARI,3.66581e+03,2.41879e+01,1.00012e+02,4.49850e+01,3.66478e+03,4.07967e+01,2.83481e+01,2.36253e+01,1.16245e+01,1.23372e+01,3.90727e+00,-1.03528e+00,2.05273e+00
ARI,3.43456e+03,2.11324e+01,1.09954e+02,2.99815e+01,3.42517e+03,3.26634e+01,1.83724e+01,2.20807e+01,8.87644e+00,1.23372e+01,3.28577e+00,-9.38756e+00,1.33321e+00
ARI,3.99044e+03,2.44363e+01,1.10022e+02,4.50022e+01,3.99405e+03,4.03718e+01,2.59422e+01,2.57480e+01,1.12978e+01,1.23372e+01,3.75230e+00,3.61882e+00,1.72361e+00
ARI,4.23291e+03,2.60298e+01,1.19910e+02,4.49975e+01,4.24311e+03,4.15097e+01,2.61260e+01,2.73536e+01,1.12525e+01,1.23372e+01,3.66643e+00,1.02078e+01,1.63379e+00
ARI,4.46384e+03,2.79219e+01,1.29988e+02,4.49547e+01,4.45581e+03,4.35183e+01,2.77103e+01,2.87248e+01,1.16041e+01,1.23372e+01,3.74283e+00,-8.02527e+00,1.88084e+00
testing,1.67227e+03,1.01377e+01,7.99769e+01,-2.00083e+01,1.64608e+03,1.09154e+02,8.31073e+00,1.06116e+01,9.93832e+01,1.23372e+01,4.12759e+01,-2.61952e+01,1.44626e+00
testing,2.18532e+03,1.39295e+01,7.99948e+01,1.49876e+01,2.18689e+03,3.28800e+01,2.42752e+01,1.40979e+01,1.08999e+01,1.23372e+01,4.69546e+00,1.56635e+00,2.63127e+00
testing,2.80809e+03,1.85883e+01,8.00654e+01,5.50168e+01,2.82401e+03,6.52739e+01,4.41759e+01,1.82052e+01,4.08274e+01,1.23372e+01,1.25957e+01,1.59256e+01,5.85985e+00
testing,1.59805e+03,1.12338e+01,9.99566e+01,-2.00145e+01,1.57389e+03,1.01695e+02,1.59142e+01,1.01462e+01,9.18668e+01,1.23372e+01,3.73351e+01,-2.41619e+01,8.71358e-01
testing,3.06423e+03,1.94811e+01,1.09950e+02,2.00191e+01,3.05691e+03,3.44751e+01,2.40114e+01,1.97066e+01,7.71267e+00,1.23372e+01,3.45554e+00,-7.32292e+00,1.29435e+00
testing,3.24062e+03,2.16641e+01,1.09998e+02,2.49844e+01,3.24123e+03,3.21335e+01,1.93009e+01,2.08949e+01,7.80967e+00,1.23372e+01,3.20078e+00,6.11390e-01,9.20097e-01
testing,1.77607e+03,1.18629e+01,1.19897e+02,-1.00118e+01,1.77251e+03,4.88760e+01,2.03182e+01,1.14266e+01,3.80579e+01,1.23372e+01,1.56481e+01,-3.56373e+00,3.30214e+00
testing,3.15082e+03,2.01040e+01,1.19959e+02,2.00029e+01,3.15947e+03,3.23792e+01,1.97467e+01,2.03678e+01,8.85450e+00,1.23372e+01,3.60858e+00,8.65485e+00,1.48535e+00
testing,3.37794e+03,2.11457e+01,1.20013e+02,2.50200e+01,3.37714e+03,3.38179e+01,2.06818e+01,2.17710e+01,8.86285e+00,1.23372e+01,3.34318e+00,-8.05988e-01,1.33844e+00
testing,3.58764e+03,2.32055e+01,1.19994e+02,3.00028e+01,3.59166e+03,3.55511e+01,2.17554e+01,2.31540e+01,9.54094e+00,1.23372e+01,3.35275e+00,4.02066e+00,1.38476e+00
testing,4.70233e+03,3.21191e+01,1.20020e+02,5.50232e+01,4.70110e+03,5.31697e+01,2.97187e+01,3.03060e+01,2.82618e+01,1.23372e+01,8.62729e+00,-1.23520e+00,2.24126e+00
testing,2.91814e+03,1.87776e+01,1.49997e+02,1.00218e+01,2.91347e+03,4.03129e+01,2.75052e+01,1.87819e+01,1.79671e+01,1.23372e+01,6.38807e+00,-4.67319e+00,3.19903e+00
testing,4.06691e+03,2.46765e+01,1.50045e+02,2.99948e+01,4.07431e+03,4.50017e+01,3.06723e+01,2.62654e+01,1.48591e+01,1.23372e+01,4.63630e+00,7.39909e+00,2.21964e+00
testing,5.47873e+03,3.45050e+01,1.49983e+02,5.49930e+01,5.48730e+03,6.80151e+01,3.64489e+01,3.53744e+01,4.18290e+01,1.23372e+01,1.20131e+01,8.57017e+00,4.28357e+00
All,1.67227e+03,1.01377e+01,7.99769e+01,-2.00083e+01,1.64608e+03,1.09154e+02,8.31073e+00,1.06116e+01,9.93832e+01,1.23372e+01,4.12759e+01,-2.61952e+01,1.44626e+00
All,1.75620e+03,1.05065e+01,7.99898e+01,-1.49650e+01,1.74107e+03,7.51687e+01,9.87215e+00,1.12239e+01,6.67843e+01,1.23372e+01,2.85403e+01,-1.51307e+01,1.74295e+00
All,1.84502e+03,1.19945e+01,7.99430e+01,-1.00132e+01,1.82575e+03,5.13874e+01,1.26420e+01,1.17698e+01,4.27422e+01,1.23372e+01,1.90583e+01,-1.92691e+01,2.21522e+00
All,1.91735e+03,1.20870e+01,8.00415e+01,-5.01250e+00,1.90772e+03,3.84517e+01,1.93727e+01,1.22983e+01,2.55341e+01,1.23372e+01,1.21565e+01,-9.62430e+00,2.79576e+00
All,1.98794e+03,1.30527e+01,7.99999e+01,1.12860e-02,1.98188e+03,2.97530e+01,1.67181e+01,1.27764e+01,1.51523e+01,1.23372e+01,7.79190e+00,-6.06199e+00,3.40842e+00
All,2.05167e+03,1.32039e+01,8.00321e+01,5.01770e+00,2.05382e+03,2.91162e+01,1.91943e+01,1.32401e+01,1.09714e+01,1.23372e+01,5.60829e+00,2.14284e+00,3.26994e+00
All,2.11905e+03,1.40284e+01,7.99815e+01,9.95514e+00,2.11932e+03,3.07868e+01,2.17516e+01,1.36624e+01,1.05717e+01,1.23372e+01,4.90557e+00,2.73262e-01,2.61232e+00
