Map,MeaPower,UncerMeaPower,CondTempInF,EvapTempInF,EstPower,UncerOverall,UncerInput,UncerOutput,UncerTrain,UncerDev,UncerCov,PowerDiff,Skewness,MinNormDistance,MinFDistance
ARI,1.67227e+03,1.01377e+01,7.99769e+01,-2.00083e+01,1.68249e+03,4.20107e+01,7.27993e+00,1.08222e+01,3.46721e+01,1.12643e+01,1.63016e+01,1.02117e+01,2.05863e+00,1.81969e-01,1.00083e+01
ARI,2.62476e+03,1.67959e+01,7.99798e+01,4.50057e+01,2.62466e+03,5.16958e+01,3.93036e+01,1.68826e+01,2.56792e+01,1.12643e+01,7.50725e+00,-1.02816e-01,6.30311e+00,3.52828e-04,2.10240e-02
ARI,2.30590e+03,1.47263e+01,9.00286e+01,4.96013e+00,2.30537e+03,2.48219e+01,1.41844e+01,1.48288e+01,7.52305e+00,1.12643e+01,3.39889e+00,-5.27228e-01,9.51197e-01,8.67594e-04,4.90674e-02
ARI,2.98252e+03,1.83497e+01,9.00033e+01,3.49570e+01,2.97936e+03,3.68900e+01,2.76066e+01,1.91641e+01,9.65929e+00,1.12643e+01,3.36076e+00,-3.16263e+00,1.60229e+00,7.83178e-04,4.30951e-02
ARI,3.66581e+03,2.41879e+01,1.00012e+02,4.49850e+01,3.66429e+03,4.15971e+01,2.82244e+01,2.35698e+01,1.51204e+01,1.12643e+01,4.75986e+00,-1.52792e+00,2.59636e+00,3.39515e-04,1.92965e-02
ARI,3.43456e+03,2.11324e+01,1.09954e+02,2.99815e+01,3.42709e+03,3.25454e+01,1.84344e+01,2.20441e+01,9.76391e+00,1.12643e+01,3.34906e+00,-7.46735e+00,1.55066e+00,8.31581e-04,4.92372e-02
ARI,3.99044e+03,2.44363e+01,1.10022e+02,4.50022e+01,3.99360e+03,4.10479e+01,2.57389e+01,2.56880e+01,1.46419e+01,1.12643e+01,4.61452e+00,3.15960e+00,2.26941e+00,3.64340e-04,2.18387e-02
ARI,4.23291e+03,2.60298e+01,1.19910e+02,4.49975e+01,4.24223e+03,4.22909e+01,2.58401e+01,2.72873e+01,1.50654e+01,1.12643e+01,4.72876e+00,9.32501e+00,2.47934e+00,1.50670e-03,9.03960e-02
ARI,4.46384e+03,2.79219e+01,1.29988e+02,4.49547e+01,4.45378e+03,4.47889e+01,2.73379e+01,2.86480e+01,1.68940e+01,1.12643e+01,5.06792e+00,-1.00541e+01,3.29207e+00,8.46697e-04,4.67999e-02
testing,1.67227e+03,1.01377e+01,7.99769e+01,-2.00083e+01,1.68249e+03,4.20107e+01,7.27993e+00,1.08222e+01,3.46721e+01,1.12643e+01,1.63016e+01,1.02117e+01,2.05863e+00,1.81969e-01,1.00083e+01
