Map,MeaPower,UncerMeaPower,CondTempInF,EvapTempInF,EstPower,UncerOverall,UncerInput,UncerOutput,UncerTrain,UncerDev,UncerCov,PowerDiff
ARI,1.67227e+03,1.01377e+01,7.99769e+01,-2.00083e+01,1.67413e+03,2.13118e+01,7.64628e+00,1.07724e+01,1.09236e+01,1.07340e+01,6.71850e+00,1.85848e+00
ARI,2.62476e+03,1.67959e+01,7.99798e+01,4.50057e+01,2.62366e+03,5.17428e+01,3.96086e+01,1.68823e+01,2.56363e+01,1.07340e+01,7.14283e+00,-1.09722e+00
ARI,2.30590e+03,1.47263e+01,9.00286e+01,4.96013e+00,2.30713e+03,2.43710e+01,1.42145e+01,1.48455e+01,6.80831e+00,1.07340e+01,3.15197e+00,1.22940e+00
ARI,2.98252e+03,1.83497e+01,9.00033e+01,3.49570e+01,2.98067e+03,3.66312e+01,2.76177e+01,1.91795e+01,9.28262e+00,1.07340e+01,3.14204e+00,-1.85194e+00
ARI,3.66581e+03,2.41879e+01,1.00012e+02,4.49850e+01,3.66523e+03,4.14907e+01,2.81690e+01,2.35843e+01,1.53200e+01,1.07340e+01,4.67397e+00,-5.88512e-01
ARI,3.43456e+03,2.11324e+01,1.09954e+02,2.99815e+01,3.42505e+03,3.23610e+01,1.83545e+01,2.20389e+01,9.86197e+00,1.07340e+01,3.48710e+00,-9.50640e+00
ARI,3.99044e+03,2.44363e+01,1.10022e+02,4.50022e+01,3.99256e+03,4.10008e+01,2.57271e+01,2.56905e+01,1.49253e+01,1.07340e+01,4.60396e+00,2.12028e+00
ARI,4.23291e+03,2.60298e+01,1.19910e+02,4.49975e+01,4.24060e+03,4.25852e+01,2.59506e+01,2.72866e+01,1.60137e+01,1.07340e+01,4.88401e+00,7.69097e+00
ARI,4.46384e+03,2.79219e+01,1.29988e+02,4.49547e+01,4.45546e+03,4.74678e+01,2.76296e+01,2.86691e+01,2.25259e+01,1.07340e+01,6.72604e+00,-8.37936e+00
testing,1.67227e+03,1.01377e+01,7.99769e+01,-2.00083e+01,1.67413e+03,2.13118e+01,7.64628e+00,1.07724e+01,1.09236e+01,1.07340e+01,6.71850e+00,1.85848e+00
testing,2.18532e+03,1.39295e+01,7.99948e+01,1.49876e+01,2.18605e+03,3.19718e+01,2.44520e+01,1.40664e+01,9.84155e+00,1.07340e+01,3.78912e+00,7.29690e-01
testing,2.80809e+03,1.85883e+01,8.00654e+01,5.50168e+01,2.81577e+03,7.36671e+01,4.43856e+01,1.81184e+01,5.26215e+01,1.07340e+01,1.56283e+01,7.67725e+00
testing,1.59805e+03,1.12338e+01,9.99566e+01,-2.00145e+01,1.59484e+03,2.47632e+01,1.54722e+01,1.02622e+01,1.10370e+01,1.07340e+01,5.61068e+00,-3.21062e+00
testing,3.06423e+03,1.94811e+01,1.09950e+02,2.00191e+01,3.05511e+03,3.43142e+01,2.40943e+01,1.96584e+01,9.15389e+00,1.07340e+01,3.38620e+00,-9.12376e+00
testing,3.24062e+03,2.16641e+01,1.09998e+02,2.49844e+01,3.24034e+03,3.20937e+01,1.93315e+01,2.08503e+01,9.70425e+00,1.07340e+01,3.48857e+00,-2.77400e-01
testing,1.77607e+03,1.18629e+01,1.19897e+02,-1.00118e+01,1.77696e+03,2.80588e+01,1.99537e+01,1.14341e+01,1.09672e+01,1.07340e+01,4.78607e+00,8.93066e-01
testing,3.15082e+03,2.01040e+01,1.19959e+02,2.00029e+01,3.15780e+03,3.22513e+01,1.98458e+01,2.03192e+01,1.01735e+01,1.07340e+01,3.83389e+00,6.97845e+00
testing,3.37794e+03,2.11457e+01,1.20013e+02,2.50200e+01,3.37625e+03,3.37943e+01,2.07785e+01,2.17249e+01,1.04008e+01,1.07340e+01,3.86578e+00,-1.68928e+00
testing,3.58764e+03,2.32055e+01,1.19994e+02,3.00028e+01,3.59135e+03,3.52869e+01,2.18224e+01,2.31090e+01,1.02767e+01,1.07340e+01,3.75433e+00,3.70818e+00
testing,4.70233e+03,3.21191e+01,1.20020e+02,5.50232e+01,4.69110e+03,5.80837e+01,2.92536e+01,3.01854e+01,3.68023e+01,1.07340e+01,1.17111e+01,-1.12281e+01
testing,2.91814e+03,1.87776e+01,1.49997e+02,1.00218e+01,2.94657e+03,9.32598e+01,2.82230e+01,1.89600e+01,8.05359e+01,1.07340e+01,3.06612e+01,2.84280e+01
testing,4.06691e+03,2.46765e+01,1.50045e+02,2.99948e+01,4.10454e+03,9.58338e+01,3.14722e+01,2.64111e+01,8.05972e+01,1.07340e+01,2.97481e+01,3.76218e+01
testing,5.47873e+03,3.45050e+01,1.49983e+02,5.49930e+01,5.49789e+03,1.28143e+02,3.66088e+01,3.53768e+01,1.10443e+02,1.07340e+01,3.89344e+01,1.91605e+01
All,1.67227e+03,1.01377e+01,7.99769e+01,-2.00083e+01,1.67413e+03,2.13118e+01,7.64628e+00,1.07724e+01,1.09236e+01,1.07340e+01,6.71850e+00,1.85848e+00
All,1.75620e+03,1.05065e+01,7.99898e+01,-1.49650e+01,1.75986e+03,2.05362e+01,9.45892e+00,1.13240e+01,7.99139e+00,1.07340e+01,4.99487e+00,3.66135e+00
All,1.84502e+03,1.19945e+01,7.99430e+01,-1.00132e+01,1.83756e+03,2.19889e+01,1.23505e+01,1.18240e+01,7.59025e+00,1.07340e+01,4.28206e+00,-7.45429e+00
All,1.91735e+03,1.20870e+01,8.00415e+01,-5.01250e+00,1.91436e+03,2.67901e+01,1.93375e+01,1.23181e+01,7.80735e+00,1.07340e+01,3.98219e+00,-2.99066e+00
All,1.98794e+03,1.30527e+01,7.99999e+01,1.12860e-02,1.98491e+03,2.52799e+01,1.67230e+01,1.27721e+01,8.13361e+00,1.07340e+01,3.86181e+00,-3.03287e+00
All,2.05167e+03,1.32039e+01,8.00321e+01,5.01770e+00,2.05460e+03,2.73297e+01,1.92706e+01,1.32205e+01,8.45454e+00,1.07340e+01,3.75197e+00,2.92270e+00
All,2.11905e+03,1.40284e+01,7.99815e+01,9.95514e+00,2.11890e+03,2.95969e+01,2.18847e+01,1.36343e+01,9.05494e+00,1.07340e+01,3.73273e+00,-1.46297e-01
All,2.18532e+03,1.39295e+01,7.99948e+01,1.49876e+01,2.18605e+03,3.19718e+01,2.44520e+01,1.40664e+01,9.84155e+00,1.07340e+01,3.78912e+00,7.29690e-01
All,2.24911e+03,1.40956e+01,7.99664e+01,2.00157e+01,2.25162e+03,3.45079e+01,2.71220e+01,1.44883e+01,1.07093e+01,1.07340e+01,3.92060e+00,2.50849e+00
All,2.32026e+03,1.46873e+01,7.99718e+01,2.49769e+01,2.31907e+03,3.69184e+01,2.96296e+01,1.49223e+01,1.14444e+01,1.07340e+01,4.02325e+00,-1.18897e+00
All,2.39718e+03,1.61560e+01,8.00445e+01,2.99710e+01,2.39306e+03,3.89836e+01,3.16528e+01,1.53984e+01,1.22067e+01,1.07340e+01,4.06045e+00,-4.11261e+00
All,2.46689e+03,1.62981e+01,7.99880e+01,3.50599e+01,2.46458e+03,4.22329e+01,3.46479e+01,1.58586e+01,1.40742e+01,1.07340e+01,4.28331e+00,-2.30783e+00
All,2.53678e+03,1.70896e+01,7.99832e+01,3.99983e+01,2.54095e+03,4.60457e+01,3.71925e+01,1.63500e+01,1.81189e+01,1.07340e+01,5.10686e+00,4.17345e+00
All,2.62476e+03,1.67959e+01,7.99798e+01,4.50057e+01,2.62366e+03,5.17428e+01,3.96086e+01,1.68823e+01,2.56363e+01,1.07340e+01,7.14283e+00,-1.09722e+00
All,2.71709e+03,1.76002e+01,8.00155e+01,5.00251e+01,2.71568e+03,6.06135e+01,4.20240e+01,1.74743e+01,3.70717e+01,1.07340e+01,1.06350e+01,-1.41629e+00
All,2.80809e+03,1.85883e+01,8.00654e+01,5.50168e+01,2.81577e+03,7.36671e+01,4.43856e+01,1.81184e+01,5.26215e+01,1.07340e+01,1.56283e+01,7.67725e+00
All,1.68604e+03,1.06870e+01,8.99783e+01,-1.99894e+01,1.68660e+03,2.10373e+01,1.03134e+01,1.08526e+01,8.80654e+00,1.07340e+01,5.06431e+00,5.61765e-01
All,1.81774e+03,1.22353e+01,9.00364e+01,-1.50265e+01,1.82066e+03,1.96318e+01,8.99218e+00,1.17153e+01,6.29432e+00,1.07340e+01,3.53055e+00,2.92826e+00
All,1.95091e+03,1.24410e+01,8.99701e+01,-9.99112e+00,1.95015e+03,2.05765e+01,9.90001e+00,1.25485e+01,6.51276e+00,1.07340e+01,3.20658e+00,-7.55503e-01
All,2.07282e+03,1.37512e+01,9.00212e+01,-5.01335e+00,2.07323e+03,2.24315e+01,1.22641e+01,1.33405e+01,6.98396e+00,1.07340e+01,3.28637e+00,4.11935e-01
