Map,Case,CondTempInF,EvapTempInF,EstPower,UncerOverall,UncerInput,UncerOutput,UncerTrain,UncerDev,UncerCov,MinNormDistance,MinFDistance
Map 5,testing_points,8.00000e+01,-2.00000e+01,1.67445e+03,2.64115e+01,1.72899e+01,1.07745e+01,1.10627e+01,1.07332e+01,6.70455e+00,0.00000e+00,6.70455e+00,0.00000e+00
Map 5,testing_points,1.00000e+02,-2.00000e+01,1.59481e+03,4.01700e+01,3.53297e+01,1.02620e+01,1.06530e+01,1.07332e+01,5.60731e+00,0.00000e+00,5.60731e+00,0.00000e+00
Map 5,testing_points,1.20000e+02,-1.00000e+01,1.77647e+03,4.97095e+01,4.56847e+01,1.14309e+01,1.07237e+01,1.07332e+01,4.80405e+00,0.00000e+00,4.80405e+00,0.00000e+00
Map 5,testing_points,1.50000e+02,1.00000e+01,2.94533e+03,1.05267e+02,5.65425e+01,1.89520e+01,8.04296e+01,1.07332e+01,3.06706e+01,0.00000e+00,3.06706e+01,2.00000e+01
Map 5,testing_points,1.50000e+02,5.50000e+01,5.49884e+03,1.36285e+02,5.83107e+01,3.53829e+01,1.10848e+02,1.07332e+01,3.89756e+01,0.00000e+00,3.89756e+01,2.23607e+01
Map 5,testing_points,1.20000e+02,5.50000e+01,4.68951e+03,6.92816e+01,4.78748e+01,3.01751e+01,3.66831e+01,1.07332e+01,1.16856e+01,0.00000e+00,1.16856e+01,1.00000e+01
Map 5,testing_points,8.00000e+01,5.50000e+01,2.81039e+03,9.26820e+01,7.16665e+01,1.80838e+01,5.26028e+01,1.07332e+01,1.56392e+01,0.00000e+00,1.56392e+01,1.00000e+01
Map 5,testing_points,1.10000e+02,2.00000e+01,3.05502e+03,4.29884e+01,3.53593e+01,1.96579e+01,9.19761e+00,1.07332e+01,3.38985e+00,0.00000e+00,3.38985e+00,1.00000e+01
Map 5,testing_points,1.10000e+02,2.50000e+01,3.24094e+03,4.44370e+01,3.62922e+01,2.08542e+01,9.75948e+00,1.07332e+01,3.48863e+00,0.00000e+00,3.48863e+00,5.00000e+00
Map 5,testing_points,1.20000e+02,2.00000e+01,3.15803e+03,4.74478e+01,4.00561e+01,2.03207e+01,1.01971e+01,1.07332e+01,3.83260e+00,0.00000e+00,3.83260e+00,5.00000e+00
Map 5,testing_points,1.20000e+02,3.00000e+01,3.59132e+03,4.95252e+01,4.10236e+01,2.31087e+01,1.03201e+01,1.07332e+01,3.75399e+00,0.00000e+00,3.75399e+00,5.00000e+00
Map 5,testing_points,8.00000e+01,1.50000e+01,2.18643e+03,4.49900e+01,4.00039e+01,1.40688e+01,9.81383e+00,1.07332e+01,3.78746e+00,0.00000e+00,3.78746e+00,0.00000e+00
Map 5,testing_points,1.50000e+02,3.00000e+01,4.10369e+03,1.05978e+02,5.56565e+01,2.64057e+01,8.02651e+01,1.07332e+01,2.96442e+01,0.00000e+00,2.96442e+01,2.00000e+01
Map 5,testing_points,1.20000e+02,2.50000e+01,3.37523e+03,4.83909e+01,4.03838e+01,2.17183e+01,1.04404e+01,1.07332e+01,3.86601e+00,0.00000e+00,3.86601e+00,1.00000e+01
Map 5,ARI_points,1.30000e+02,4.50000e+01,4.45791e+03,6.14214e+01,4.77228e+01,2.86849e+01,2.26167e+01,1.07332e+01,6.75191e+00,0.00000e+00,6.75191e+00,0.00000e+00
Map 5,ARI_points,1.10000e+02,4.50000e+01,3.99186e+03,5.35071e+01,4.29479e+01,2.56860e+01,1.49108e+01,1.07332e+01,4.60248e+00,0.00000e+00,4.60248e+00,0.00000e+00
Map 5,ARI_points,1.00000e+02,4.50000e+01,3.66525e+03,5.40684e+01,4.46706e+01,2.35844e+01,1.53166e+01,1.07332e+01,4.67983e+00,0.00000e+00,4.67983e+00,0.00000e+00
Map 5,ARI_points,1.10000e+02,3.00000e+01,3.42661e+03,4.60789e+01,3.75653e+01,2.20489e+01,9.92860e+00,1.07332e+01,3.48939e+00,0.00000e+00,3.48939e+00,0.00000e+00
Map 5,ARI_points,9.00000e+01,5.00000e+00,2.30751e+03,3.30351e+01,2.64642e+01,1.48479e+01,6.73660e+00,1.07332e+01,3.15008e+00,0.00000e+00,3.15008e+00,0.00000e+00
Map 5,ARI_points,8.00000e+01,4.50000e+01,2.62495e+03,7.20574e+01,6.39192e+01,1.68906e+01,2.55985e+01,1.07332e+01,7.12984e+00,0.00000e+00,7.12984e+00,0.00000e+00
Map 5,ARI_points,9.00000e+01,3.50000e+01,2.98153e+03,5.06461e+01,4.45577e+01,1.91850e+01,9.30037e+00,1.07332e+01,3.14209e+00,0.00000e+00,3.14209e+00,0.00000e+00
Map 5,ARI_points,1.20000e+02,4.50000e+01,4.24275e+03,5.58830e+01,4.45174e+01,2.73004e+01,1.60215e+01,1.07332e+01,4.88881e+00,0.00000e+00,4.88881e+00,0.00000e+00
